"sample","issue_id","issue_number","issue_title","issue_state","issue_html","category","documentation","source code","configuration file","link for commit or pull request"
"spring-guides/gs-accessing-data-mongodb",28445948,5,"Remove Spring Data MongoDB version","closed","https://github.com/spring-guides/gs-accessing-data-mongodb/issues/5","Improvement",0,0,1,"https://github.com/spring-guides/gs-accessing-data-mongodb/commit/a7b8dfdbb657f532ca6fcbb57038586cc3939866"
"spring-guides/tut-spring-boot-oauth2",369122080,91,"Migrate to spring-security-oauth2-client","closed","https://github.com/spring-guides/tut-spring-boot-oauth2/issues/91","Improvement",1,1,1,"https://github.com/spring-guides/tut-spring-boot-oauth2/pull/118/commits/6c77314d11ca2782880ccbbd43026ab3bb5962ff"
"spring-guides/tut-spring-boot-oauth2",271181200,63,"Logout button - include js.cookie.js script","closed","https://github.com/spring-guides/tut-spring-boot-oauth2/issues/63","Improvement",1,0,0,"https://github.com/spring-guides/tut-spring-boot-oauth2/pull/64/commits/7ad7e6d2dfcb48c1b010ce121526fd9f4a3529d1"
"spring-guides/tut-spring-boot-oauth2",163635992,27,"Error in Manual tutorial","closed","https://github.com/spring-guides/tut-spring-boot-oauth2/issues/27","Improvement",1,0,0,"https://github.com/spring-guides/tut-spring-boot-oauth2/commit/0f19b1d201851cfd8c1c87036a3e2039ae8f7374"
"spring-guides/tut-rest",306169593,50,"Tutorial text does not mention including Spring Security Starter","closed","https://github.com/spring-guides/tut-rest/issues/50","Improvement",1,0,1,"https://github.com/spring-guides/tut-rest/commit/9294e95ec6d03d115ba4d6572cd235de4789b8d0"
"spring-guides/gs-spring-boot-docker",141358091,16,"Change the Dockerfile RUN bash to RUN sh","closed","https://github.com/spring-guides/gs-spring-boot-docker/issues/16","Improvement",0,0,1,"https://github.com/spring-guides/gs-spring-boot-docker/commit/958e5966ef4ab0a423d86710e9be74c9fee21565"
"spring-guides/gs-maven",178730588,13,"Minor: missing <dependencies> element in tutorial","closed","https://github.com/spring-guides/gs-maven/issues/13","Improvement",1,0,0,"https://github.com/spring-guides/gs-maven/commit/9a1a358fff2e939b30e9b1d63b34ed4051f32224"
"spring-guides/gs-testing-web",174157360,2,"The documentation for this GS is incorrect in places.","closed","https://github.com/spring-guides/gs-testing-web/issues/2","Improvement",1,0,0,"https://github.com/spring-guides/gs-testing-web/commit/08b22fdf78726eebd946c93aaa2ca51db73ef919"
"spring-guides/gs-consuming-rest",519273887,39,"Missing image","closed","https://github.com/spring-guides/gs-consuming-rest/issues/39","Improvement",1,0,0,"https://github.com/spring-guides/gs-consuming-rest/commit/3ffe4368c7e4667fc16a6e109a8a79199d50a346"
"spring-guides/gs-authenticating-ldap",41307530,5,"Gradle build script info is missing for this example","closed","https://github.com/spring-guides/gs-authenticating-ldap/issues/5","Improvement",1,0,1,"https://github.com/spring-guides/gs-centralized-configuration/commit/ac32d420e0f02fdaebd6b13f311d6419dcab7771"
