,framework,sample,watcher,watcher_repo
210082,googlearchive,googlearchive/android-Camera2Basic,eddieberklee,eddieberklee/shoutake
210115,googlearchive,googlearchive/android-Camera2Basic,wangli135,wangli135/BlogDemo
210219,googlearchive,googlearchive/android-Camera2Basic,xingda920813,xingda920813/HelloCamera2
210809,googlearchive,googlearchive/android-Camera2Basic,heitornascimento,heitornascimento/mobile_vision_face_recognition
210818,googlearchive,googlearchive/android-Camera2Basic,miqt,miqt/camera2
210840,googlearchive,googlearchive/android-Camera2Basic,vtthach,vtthach/20170106_Sample_CameraModule
211050,googlearchive,googlearchive/android-Camera2Basic,werbhelius,werbhelius/MediaUtils
211083,googlearchive,googlearchive/android-Camera2Basic,therajanmaurya,therajanmaurya/Remote-Camera-App
211688,googlearchive,googlearchive/android-Camera2Basic,arjinmc,arjinmc/SmartCam
212331,googlearchive,googlearchive/android-Camera2Basic,lwmcc,lwmcc/CloudCam
212334,googlearchive,googlearchive/android-Camera2Basic,GDPCCoder,GDPCCoder/Study
212382,googlearchive,googlearchive/android-Camera2Basic,mfecane,mfecane/mirrorCam
212383,googlearchive,googlearchive/android-Camera2Basic,lytcom,lytcom/Camera2Kit
212384,googlearchive,googlearchive/android-Camera2Basic,lytcom,lytcom/CameraKitView
212491,googlearchive,googlearchive/android-Camera2Basic,mdnahian,mdnahian/lucid
212493,googlearchive,googlearchive/android-Camera2Basic,mdnahian,mdnahian/RxWhat
212564,googlearchive,googlearchive/android-Camera2Basic,floatingmuseum,floatingmuseum/FloatingMuseum
212577,googlearchive,googlearchive/android-Camera2Basic,slq,slq/android-background-camera
212592,googlearchive,googlearchive/android-Camera2Basic,hugbio,hugbio/android-Camera2Basic
212638,googlearchive,googlearchive/android-Camera2Basic,Hemumu,Hemumu/WallpaperDemo
212718,googlearchive,googlearchive/android-Camera2Basic,glumes,glumes/Camera2Sample
212723,googlearchive,googlearchive/android-Camera2Basic,glumes,glumes/EzCameraKit
212757,googlearchive,googlearchive/android-Camera2Basic,program008,program008/Camera2Util
212929,googlearchive,googlearchive/android-Camera2Basic,wangrling,wangrling/appscoll
212930,googlearchive,googlearchive/android-Camera2Basic,wangrling,wangrling/camera
212932,googlearchive,googlearchive/android-Camera2Basic,wangrling,wangrling/MultiMedia
212933,googlearchive,googlearchive/android-Camera2Basic,dhatto,dhatto/beerfesakita_android
212937,googlearchive,googlearchive/android-Camera2Basic,bylijian,bylijian/Camera2Basic
213162,googlearchive,googlearchive/android-Camera2Basic,Yat3s,Yat3s/FaceDetector
213244,googlearchive,googlearchive/android-Camera2Basic,jeffreyliu8,jeffreyliu8/camera2barcode
213317,googlearchive,googlearchive/android-Camera2Basic,skymxc,skymxc/FaceDemo
213557,googlearchive,googlearchive/android-Camera2Basic,lozuwa,lozuwa/android_camera2_app
213683,googlearchive,googlearchive/android-Camera2Basic,13767004362,13767004362/Camera2App
213708,googlearchive,googlearchive/android-Camera2Basic,Nanamare,Nanamare/android_pose_estimation_mace
213779,googlearchive,googlearchive/android-Camera2Basic,imen-nmn,imen-nmn/Camera2Example
213821,googlearchive,googlearchive/android-Camera2Basic,freddie1129,freddie1129/android-parcel-tracker
213932,googlearchive,googlearchive/android-Camera2Basic,MyLifeMyTravel,MyLifeMyTravel/AndroidCore
214228,googlearchive,googlearchive/android-Camera2Basic,ssj64260,ssj64260/Camera2Demo
214330,googlearchive,googlearchive/android-Camera2Basic,gmlwhdtjd,gmlwhdtjd/Filters
214350,googlearchive,googlearchive/android-Camera2Basic,Somia21,Somia21/SmartCane
214351,googlearchive,googlearchive/android-Camera2Basic,Somia21,Somia21/tensorflow
214394,googlearchive,googlearchive/android-Camera2Basic,micscopau,micscopau/HelloOpenCV_baseOpenCVsetup
214600,googlearchive,googlearchive/android-Camera2Basic,ckwcc,ckwcc/App-Architecture
214706,googlearchive,googlearchive/android-Camera2Basic,Belolme,Belolme/GraduationProject_OCR_App
214872,googlearchive,googlearchive/android-Camera2Basic,ly20050516,ly20050516/GpuCamera
